"rank","metro","pop_2015","pop_2010"
221,"Racine",195080,195408
222,"St. Cloud",194418,189093
223,"Gainesville",193535,179684
224,"Saginaw",193307,200169
225,"Bloomington",189413,186133
226,"Warner Robins",188149,179605
227,"Jacksonville",186311,177772
228,"Blacksburg",181747,178237
229,"El Centro",180191,174528
230,"Kingston",180143,182493
231,"Redding",179533,177223
232,"Monroe",179238,176441
233,"Joplin",177211,175518
234,"Greenville",175842,168148
235,"Bend",175268,157733
236,"Columbia",174974,162642
237,"Dover",173533,162310
238,"Punta Gorda",173115,159978
239,"Muskegon",172790,172188
240,"Terre Haute",171019,172425
241,"Yuba City",170955,166892
242,"Waterloo",170612,167819
243,"Abilene",169578,165252
244,"Oshkosh",169546,166994
245,"Sioux City",169069,168563
246,"Bowling Green",168436,158599
247,"Billings",168283,158934
248,"Midland",166718,141671
249,"Iowa City",166498,152586
250,"East Stroudsburg",166397,169842
251,"Eau Claire",165636,161151
252,"Bloomington",165577,159549
253,"Kahului",164726,154924
254,"Pueblo",163591,159063
255,"Janesville",161448,160331
256,"State College",160580,153990
257,"Jackson",159494,160248
258,"Odessa",159436,137130
259,"Burlington",158276,151131
260,"Auburn",156993,140247
261,"Vineland",155854,156898
262,"St. George",155602,138115
263,"Madera",154998,150865
264,"Niles",154636,156813
265,"Alexandria",154484,153922
266,"Chambersburg",153638,149618
267,"Albany",153526,157308
268,"Bangor",152692,153923
269,"Decatur",152680,153829
270,"Jefferson City",151145,149807
271,"Hanford",150965,152982
272,"Wichita Falls",150780,151306
273,"Coeur d'Alene",150346,138494
274,"Texarkana",149769,149198
275,"Monroe",149568,152021
276,"Hattiesburg",148839,142842
277,"Santa Fe",148686,144170
278,"Elizabethtown",148604,148338
279,"Grand Junction",148513,146723
280,"Dothan",148171,145639
281,"Rocky Mount",148069,152392
282,"Sebastian",147919,138028
283,"Florence",146950,147137
284,"Wheeling",144198,147950
285,"Rapid City",144134,134598
286,"Dalton",143781,142227
287,"Valdosta",142875,139588
288,"Napa",142456,136484
289,"Homosassa Springs",141058,141236
290,"Idaho Falls",139747,133265
291,"Flagstaff",139097,134421
292,"Morgantown",138176,129709
293,"Lebanon",137067,133568
294,"La Crosse",136985,133665
295,"Johnstown",136411,143679
296,"Springfield",135959,138333
297,"Wausau",135868,134063
298,"Battle Creek",134314,136146
299,"Logan",133857,125442
300,"Winchester",133836,128472
301,"Harrisonburg",131131,125228
302,"Lawton",130644,130291
303,"Jackson",129682,130011
304,"Bismarck",129517,114778
305,"Hammond",128755,121097
306,"Jonesboro",128394,121026
307,"Pittsfield",127828,131219
308,"Glens Falls",126918,128923
309,"St. Joseph",126880,127329
310,"Carbondale",126828,126575
311,"Sierra Vista",126427,131346
312,"New Bern",126245,126802
313,"Altoona",125593,127089
314,"Sherman",125467,120877
315,"Goldsboro",124132,122623
316,"Beckley",122507,124898
317,"Mount Vernon",121846,116901
318,"Mansfield",121707,124475
319,"Cleveland",120864,115788
320,"Albany",120547,116672
321,"Weirton",120512,124454
322,"Staunton",120512,118502
323,"San Angelo",119659,111823
324,"The Villages",118891,93420
325,"Farmington",118737,130044
326,"Lawrence",118053,110826
327,"Watertown",117635,116229
328,"Owensboro",117463,114752
329,"Muncie",116852,117671
330,"Morristown",116642,113951
331,"Wenatchee",116178,110884
332,"Williamsport",116048,116111
333,"Brunswick",116003,112370
334,"Anniston",115620,118572
335,"Sheboygan",115569,115507
336,"Missoula",114181,109299
337,"California",111413,105151
338,"Michigan City",110884,111467
339,"Kankakee",110879,113449
340,"Sumter",107480,107456
341,"Decatur",107303,110768
342,"Lewiston",107233,107702
343,"Bay City",105659,107771
344,"Ithaca",104926,101564
345,"Lima",104425,106331
346,"Longview",103468,102410
347,"Gadsden",103057,104430
348,"Grand Forks",102449,98461
349,"Gettysburg",102295,101407
350,"Fond du Lac",101973,101633
351,"Cumberland",99979,103299
352,"Victoria",99913,94003
353,"Fairbanks",99631,97581
354,"Sebring",99491,98786
355,"Mankato",99134,96740
356,"Manhattan",98545,92719
357,"Cape Girardeau",97534,96275
358,"Hot Springs",97177,96024
359,"Dubuque",97125,93653
360,"Cheyenne",97121,91738
361,"Rome",96504,96317
362,"Ames",96021,89542
363,"Ocean City",94727,97265
364,"Pine Bluff",93696,100258
365,"Parkersburg",92332,92673
366,"Corvallis",87572,85579
367,"Elmira",87071,88830
368,"Bloomsburg",85229,85562
369,"Grand Island",85066,81850
370,"Grants Pass",84745,82713
371,"Pocatello",83744,82839
372,"Midland",83632,83629
373,"Kokomo",82556,82752
374,"Great Falls",82278,81327
375,"Casper",82178,75450
376,"Columbus",81162,76794
377,"Hinesville",80198,77917
378,"Danville",79282,81625
379,"Walla Walla",64282,62859
380,"Enid",63569,60580
381,"Lewiston",62153,60888
382,"Carson City",54521,55274
383,"San Juan",2242285,2350126
384,"Ponce",325929,350480
385,"Aguadilla",322641,339441
386,"Arecibo",191864,199471
387,"San Germán",132660,137462
388,"Mayagüez",98661,106330
389,"Guayama",80581,84214
